id,x,y,size,color
TheLastofUs,259.017105807753,20.00122282688758,9.25061092170547,#546A79
LittleBigPlanet,268.26771672945847,20.00122282688758,9.25061092170547,#546A79
ResidentEvil2,277.51832765116393,20.00122282688758,9.25061092170547,#546A79
Tekken2,286.7689385728694,20.00122282688758,9.25061092170547,#546A79
Destiny,629.0415426759721,20.00122282688758,9.25061092170547,#546A79
AssassinsCreedII,638.2921535976776,20.00122282688758,9.25061092170547,#546A79
MonsterHunterFreedomUnite,647.5427645193831,20.00122282688758,9.25061092170547,#546A79
BatmanArkhamCity,656.7933754410886,20.00122282688758,9.25061092170547,#546A79
CrashBandicootTheWrathofCortex,666.0439863627942,20.00122282688758,9.25061092170547,#546A79
Uncharted4AThiefsEnd,675.2945972844997,20.00122282688758,9.25061092170547,#546A79
FinalFantasyXIII,684.5452082062052,20.00122282688758,9.25061092170547,#546A79
FinalFantasyIX,693.7958191279107,20.00122282688758,9.25061092170547,#546A79
FinalFantasyX2,703.0464300496162,20.00122282688758,9.25061092170547,#546A79
TombRaiderII,712.2970409713217,20.00122282688758,9.25061092170547,#546A79
MaddenNFL2004,721.5476518930273,20.00122282688758,9.25061092170547,#546A79
DragonQuestVIIIJourneyoftheCursedKing,730.7982628147328,20.00122282688758,9.25061092170547,#546A79
MedalofHonorRisingSun,740.0488737364383,20.00122282688758,9.25061092170547,#546A79
GuitarHeroII,749.2994846581438,20.00122282688758,9.25061092170547,#546A79
ResidentEvil5,758.5500955798493,20.00122282688758,9.25061092170547,#546A79
FIFASoccer11,767.8007065015548,20.00122282688758,9.25061092170547,#546A79
ResidentEvil,777.0513174232603,20.00122282688758,9.25061092170547,#546A79
GrandTheftAutoViceCityStories,786.3019283449659,20.00122282688758,9.25061092170547,#546A79
TonyHawksProSkater,111.00733106046566,29.25183374859305,9.25061092170547,#546A79
Warzone2100,120.25794198217113,29.25183374859305,9.25061092170547,#546A79
SpyrotheDragon,129.5085529038766,29.25183374859305,9.25061092170547,#546A79
GuitarHeroIIILegendsofRock,138.75916382558205,29.25183374859305,9.25061092170547,#546A79
