id,x,y
RockBand3,686.0016396389883,303.51599999999996
CrimsonSkiesHighRoadtoRevenge,710.5016396389883,303.51599999999996
TomClancysGhostReconIslandThunder,735.0016396389883,303.51599999999996
KingdomsofAmalurReckoning,759.5016396389883,303.51599999999996
RedFactionGuerrilla,784.0016396389883,303.51599999999996
NBA2K8,808.5016396389883,303.51599999999996
TheLordoftheRingsWarintheNorth,833.0016396389883,303.51599999999996
DukeNukemForever,857.5016396389883,303.51599999999996
BruteForce,882.0016396389883,303.51599999999996
SidMeiersCivilizationRevolution,906.5016396389883,303.51599999999996
DJHero2,931.0016396389883,303.51599999999996
AmpedFreestyleSnowboarding,955.5016396389883,303.51599999999996
Stranglehold,980.0016396389883,303.51599999999996
DanceCentral3,73.50163963898831,328.01599999999996
ShaunWhiteSnowboarding,98.00163963898831,328.01599999999996
Prototype2,122.50163963898831,328.01599999999996
TheGodfatherII,147.0016396389883,328.01599999999996
RareReplay,171.5016396389883,328.01599999999996
StarOceanTheLastHope,196.0016396389883,328.01599999999996
TooHuman,220.5016396389883,328.01599999999996
TomClancysSplinterCellDoubleAgent,245.0016396389883,328.01599999999996
DeadIslandRiptide,269.5016396389883,328.01599999999996
AliensColonialMarines,294.0016396389883,328.01599999999996
Lips,318.5016396389883,328.01599999999996
PerfectDarkZero,343.0016396389883,328.01599999999996
UFCPersonalTrainerTheUltimateFitnessSystem,367.5016396389883,328.01599999999996
BanjoKazooieNutsBolts,392.0016396389883,328.01599999999996
SonicSEGAAllStarsRacingwithBanjoKazooie,416.5016396389883,328.01599999999996
KaneLynchDeadMen,441.0016396389883,328.01599999999996
Turok,465.5016396389883,328.01599999999996
UnrealChampionship,490.0016396389883,328.01599999999996
TalesofVesperia,514.5016396389883,328.01599999999996
OddworldMunchsOddysee,539.0016396389883,328.01599999999996
NHL11,563.5016396389883,328.01599999999996
FullSpectrumWarrior,588.0016396389883,328.01599999999996
MajorLeagueBaseball2K7,612.5016396389883,328.01599999999996
BorderlandsThePreSequel,637.0016396389883,328.01599999999996
Skate,661.5016396389883,328.01599999999996
ConkerLiveAndReloaded,686.0016396389883,328.01599999999996
NBALive09,710.5016396389883,328.01599999999996
NCAAFootball09,735.0016396389883,328.01599999999996
Doom3ResurrectionofEvil,759.5016396389883,328.01599999999996
TwoWorlds,784.0016396389883,328.01599999999996
StarWarsObiWan,808.5016396389883,328.01599999999996
JadeEmpire,833.0016396389883,328.01599999999996
InfiniteUndiscovery,857.5016396389883,328.01599999999996
NHL12,882.0016396389883,328.01599999999996
Halo2MultiplayerMapPack,906.5016396389883,328.01599999999996
MotionSports,931.0016396389883,328.01599999999996
ShrektheThird,955.5016396389883,328.01599999999996
TestDriveUnlimited2,980.0016396389883,328.01599999999996
MXvsATVUntamed,1004.5016396389883,328.01599999999996
TheLastRemnant,73.50163963898831,352.51599999999996
ReturntoCastleWolfensteinTidesofWar,98.00163963898831,352.51599999999996
FightNightRound2004,122.50163963898831,352.51599999999996
StarWarsRepublicCommando,147.0016396389883,352.51599999999996
Terraria,171.5016396389883,352.51599999999996
NHL10,196.0016396389883,352.51599999999996
NHL13,220.5016396389883,352.51599999999996
BrothersInArmsRoadtoHill30,245.0016396389883,352.51599999999996
SceneItBoxOfficeSmash,269.5016396389883,352.51599999999996
NBALive06,294.0016396389883,352.51599999999996
StuntmanIgnition,318.5016396389883,352.51599999999996
TonyHawksProSkater2x,343.0016396389883,352.51599999999996
Juiced2HotImportNights,367.5016396389883,352.51599999999996
TheWalkingDeadSurvivalInstinct,392.0016396389883,352.51599999999996
Condemned2Bloodshot,416.5016396389883,352.51599999999996
MetalGearSolid2Substance,441.0016396389883,352.51599999999996
TonyHawksAmericanWasteland,465.5016396389883,352.51599999999996
NFLFever2003,490.0016396389883,352.51599999999996
MajorLeagueBaseball2K8,514.5016396389883,352.51599999999996
MajorLeagueBaseball2K9,539.0016396389883,352.51599999999996
KinectSportsRivals,563.5016396389883,352.51599999999996
FightersUncaged,588.0016396389883,352.51599999999996
PGR3ProjectGothamRacing3,612.5016396389883,352.51599999999996
DeadorAliveXtremeBeachVolleyball,637.0016396389883,352.51599999999996
NarutoTheBrokenBond,661.5016396389883,352.51599999999996
LostViaDomus,686.0016396389883,352.51599999999996
GamePartyinMotion,710.5016396389883,352.51599999999996
SonicAllStarsRacingTransformed,735.0016396389883,352.51599999999996
TransformersWarforCybertronXBox360PS3PCVersions,759.5016396389883,352.51599999999996
KinectRushADisneyPixarAdventure,784.0016396389883,352.51599999999996
TomClancysHAWX,808.5016396389883,352.51599999999996
FarCryInstincts,833.0016396389883,352.51599999999996
Payday2,857.5016396389883,352.51599999999996
BlacksiteArea51,882.0016396389883,352.51599999999996
BloodWake,906.5016396389883,352.51599999999996
WrecklessThEYaKuzaMisSiOns,931.0016396389883,352.51599999999996
Defiance,955.5016396389883,352.51599999999996
RalliSportChallenge,980.0016396389883,352.51599999999996
Warhammer40000SpaceMarine,1004.5016396389883,352.51599999999996
Battlefield2ModernCombat,73.50163963898831,377.01599999999996
WWERaw2,98.00163963898831,377.01599999999996
BlinxTheTimeSweeper,122.50163963898831,377.01599999999996
QuantumBreak,147.0016396389883,377.01599999999996
TMNT,171.5016396389883,377.01599999999996
FrontlinesFuelofWar,196.0016396389883,377.01599999999996
TheGodfatheroldUSsales,220.5016396389883,377.01599999999996
WWFRaw,245.0016396389883,377.01599999999996
MXvsATVAlive,269.5016396389883,377.01599999999996
LipsNumberOneHits,294.0016396389883,377.01599999999996
DanceDanceRevolutionUltramix,318.5016396389883,377.01599999999996
Metro2033,343.0016396389883,377.01599999999996
GregHastingsTournamentPaintball,367.5016396389883,377.01599999999996
TwoWorldsII,392.0016396389883,377.01599999999996
2in1ComboPackSonicHeroesSuperMonkeyBallDeluxe,416.5016396389883,377.01599999999996
MedalofHonorEuropeanAssault,441.0016396389883,377.01599999999996
FEAR2ProjectOrigin,465.5016396389883,377.01599999999996
