id,x,y,size,color
JonahLomuRugbyChallenge,330.71573204766065,322.09430978489354,16.235534313569023,#38454f
BruceLeeQuestoftheDragon,347.2512663612297,322.09430978489354,16.235534313569023,#38454f
MidtownMadness3,363.7868006747987,322.09430978489354,16.235534313569023,#38454f
NASCAR2011TheGame,380.32233498836774,322.09430978489354,16.235534313569023,#38454f
MagnaCarta2,396.8578693019368,322.09430978489354,16.235534313569023,#38454f
PowerUpHeroes,413.3934036155058,322.09430978489354,16.235534313569023,#38454f
DanceDanceRevolutionUniverse3,429.92893792907483,322.09430978489354,16.235534313569023,#536a79
AMFBowling2004,446.46447224264386,322.09430978489354,16.235534313569023,#536a79
N3NinetyNineNights,463.0000065562129,322.09430978489354,16.235534313569023,#536a79
GuitarHeroVanHalen,479.5355408697819,322.09430978489354,16.235534313569023,#38454f
OutlawGolf,496.07107518335096,322.09430978489354,16.235534313569023,#38454f
RabbidsAliveKicking,512.60660949692,322.09430978489354,16.235534313569023,#38454f
TheChroniclesofRiddickAssaultonDarkAthena,529.142143810489,322.09430978489354,16.235534313569023,#38454f
PiratesoftheCaribbean,545.6776781240579,322.09430978489354,16.235534313569023,#38454f
TurningPointFallofLiberty,562.2132124376269,322.09430978489354,16.235534313569023,#38454f
NASCAR08,578.7487467511959,322.09430978489354,16.235534313569023,#38454f
Links2004,595.2842810647649,322.09430978489354,16.235534313569023,#38454f
DeathSmiles,611.8198153783338,322.09430978489354,16.235534313569023,#38454f
FableTheJourney,628.3553496919028,322.09430978489354,16.235534313569023,#38454f
Chromehounds,644.8908840054718,322.09430978489354,16.235534313569023,#38454f
UnrealChampionship2TheLiandriConflict,661.4264183190407,322.09430978489354,16.235534313569023,#38454f
KungFuChaos,677.9619526326097,322.09430978489354,16.235534313569023,#38454f
SilentHill2RestlessDreams,49.61164871698718,338.62984409846257,16.235534313569023,#38454f
VirtuaFighter5Online,66.1471830305562,338.62984409846257,16.235534313569023,#38454f
